Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_SOD-123,136.144,-82.296,-90.0,top
D2,1N4148,D_SOD-123,133.858,-87.63,-90.0,top
D3,1N4148,D_SOD-123,131.826,-92.964,-90.0,top
D4,1N4148,D_SOD-123,130.048,-98.298,-90.0,top
D5,1N4148,D_SOD-123,138.176,-87.63,-90.0,top
D6,1N4148,D_SOD-123,135.89,-92.964,-90.0,top
D7,1N4148,D_SOD-123,133.858,-98.298,-90.0,top
D8,1N4148,D_SOD-123,131.826,-103.886,-90.0,top
D9,1N4148,D_SOD-123,139.7,-92.964,-90.0,top
D10,1N4148,D_SOD-123,137.668,-98.298,-90.0,top
D11,1N4148,D_SOD-123,135.89,-103.886,-90.0,top
D12,1N4148,D_SOD-123,134.112,-109.474,-90.0,top
D13,1N4148,D_SOD-123,141.478,-98.298,-90.0,top
D14,1N4148,D_SOD-123,139.7,-103.886,-90.0,top
D15,1N4148,D_SOD-123,144.098,-114.84,0.0,top
D16,1N4148,D_SOD-123,136.144,-115.062,-90.0,top
D17,1N4148,D_SOD-123,170.18,-82.042,-90.0,top
D18,1N4148,D_SOD-123,172.72,-88.138,-90.0,top
D19,1N4148,D_SOD-123,144.098,-118.39,0.0,top
D20,1N4148,D_SOD-123,176.53,-99.822,-90.0,top
D21,1N4148,D_SOD-123,168.402,-88.138,-90.0,top
D22,1N4148,D_SOD-123,170.434,-93.98,-90.0,top
D23,1N4148,D_SOD-123,172.466,-99.822,-90.0,top
D24,1N4148,D_SOD-123,174.498,-105.41,-90.0,top
D25,1N4148,D_SOD-123,166.37,-93.98,-90.0,top
D26,1N4148,D_SOD-123,168.148,-99.822,-90.0,top
D27,1N4148,D_SOD-123,170.18,-105.41,-90.0,top
D28,1N4148,D_SOD-123,172.466,-110.998,-90.0,top
D29,1N4148,D_SOD-123,164.084,-99.822,-90.0,top
D30,1N4148,D_SOD-123,165.862,-105.41,-90.0,top
D31,1N4148,D_SOD-123,167.894,-110.998,-90.0,top
D32,1N4148,D_SOD-123,170.18,-116.586,-90.0,top
D33,1N4148,D_SOD-123,144.098,-121.39,0.0,top
D34,1N4148,D_SOD-123,162.298,-118.44,180.0,top
D35,1N4148,D_SOD-123,162.248,-114.74,180.0,top
