Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,159.068838,-101.839641,180.0,bottom
C2,1uF,C_0805_2012Metric,159.068837,-99.47282,180.0,bottom
C3,4.7uF,C_0805_2012Metric,159.068839,-97.267644,180.0,bottom
C4,0.1uF,C_0805_2012Metric,159.068839,-94.98164,0.0,bottom
C5,0.1uF,C_0805_2012Metric,147.697562,-58.227564,90.0,bottom
C6,4u7,C_0402_1005Metric,99.15,-51.364,270.0,bottom
C7,0.1uF,C_0805_2012Metric,170.778,-82.578,270.0,bottom
C8,0.1uF,C_0805_2012Metric,164.428,-74.958,270.0,bottom
D1,1N4148,D_SOD-123,65.655563,-53.782564,180.0,bottom
D2,1N4148,D_SOD-123,59.105644,-71.039641,178.0,bottom
D3,1N4148,D_SOD-123,41.966908,-55.037642,178.0,bottom
D4,1N4148,D_SOD-123,88.956909,-58.085642,178.0,bottom
D5,1N4148,D_SOD-123,80.320907,-75.357641,180.0,bottom
D6,1N4148,D_SOD-123,51.618909,-89.073641,178.0,bottom
D7,1N4148,D_SOD-123,36.378909,-73.579644,178.0,bottom
D8,1N4148,D_SOD-123,103.942907,-71.039642,178.0,bottom
D9,1N4148,D_SOD-123,94.798907,-87.549645,178.0,bottom
D10,1N4148,D_SOD-123,71.684907,-92.121643,180.0,bottom
D11,1N4148,D_SOD-123,81.590909,-124.37964,178.0,bottom
D12,1N4148,D_SOD-123,127.818909,-158.415642,178.0,bottom
D13,1N4148,D_SOD-123,117.658905,-87.295641,178.0,bottom
D14,1N4148,D_SOD-123,109.022907,-103.805643,178.0,bottom
D15,1N4148,D_SOD-123,86.924908,-104.567642,180.0,bottom
D16,1N4148,D_SOD-123,97.846909,-136.825643,178.0,bottom
D17,1N4148,D_SOD-123,147.376907,-160.193643,178.0,bottom
D18,1N4148,D_SOD-123,194.11291,-81.707642,182.0,bottom
D19,1N4148,D_SOD-123,203.002907,-98.471642,179.0,bottom
D20,1N4148,D_SOD-123,224.592907,-99.487642,180.0,bottom
D21,1N4148,D_SOD-123,213.873895,-131.752315,182.0,bottom
D22,1N4148,D_SOD-123,166.680909,-160.447643,182.0,bottom
D23,1N4148,D_SOD-123,240.340908,-86.787641,182.0,bottom
D24,1N4148,D_SOD-123,207.828908,-65.45164,182.0,bottom
D25,1N4148,D_SOD-123,216.464906,-82.215642,181.0,bottom
D26,1N4148,D_SOD-123,229.672908,-118.791644,182.0,bottom
D27,1N4148,D_SOD-123,185.730905,-158.669643,182.0,bottom
D28,1N4148,D_SOD-123,222.814908,-52.751645,182.0,bottom
D29,1N4148,D_SOD-123,231.45091,-69.769642,182.0,bottom
D30,1N4148,D_SOD-123,260.40691,-84.247643,182.0,bottom
D31,1N4148,D_SOD-123,275.392908,-70.785642,182.0,bottom
D32,1N4148,D_SOD-123,245.928909,-49.449642,182.0,bottom
D33,1N4148,D_SOD-123,253.040906,-66.975645,182.0,bottom
D34,1N4148,D_SOD-123,270.56691,-52.751641,182.0,bottom
D35,1N4148,D_SOD-123,142.617562,-137.729566,270.0,bottom
D36,1N4148,D_SOD-123,138.045563,-137.729563,0.0,bottom
D37,1N4148,D_SOD-123,142.617564,-142.809565,180.0,bottom
D38,1N4148,D_SOD-123,160.143563,-137.729564,180.0,bottom
D39,1N4148,D_SOD-123,160.143562,-133.919564,180.0,bottom
D40,B5817WS,D_SOD-323,104.992,-53.114,0.0,bottom
F1,500mA,Fuse_0603_1608Metric,104.738,-50.574,0.0,bottom
J1,Conn_01x12_Female,FPC-SMD_FPC05012-09200-.5mm-rev,128.139561,-126.807563,225.0,bottom
J2,Conn_01x12_Female,FPC-SMD_FPC05012-09200-.5mm-rev,150.237564,-124.911562,180.0,bottom
R1,39,R_0805_2012Metric,159.068837,-106.411641,0.0,bottom
R2,10K,R_0805_2012Metric,159.068839,-104.125642,180.0,bottom
R3,10K,R_0805_2012Metric,142.617565,-100.645565,90.0,bottom
R4,10K,R_0805_2012Metric,166.206,-82.578,90.0,bottom
R5,10K,R_0805_2012Metric,168.492,-82.578,270.0,bottom
R6,10K,R_0805_2012Metric,161.7845,-78.006,0.0,bottom
R7,10K,R_0805_2012Metric,162.142,-74.958,270.0,bottom
SW35,SW_Push,SW_SPST_Omron_B3FS-100xP,126.074,-51.336,35.0,bottom
U2,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,151.186911,-63.927643,90.0,bottom
U3,"TCR2EF19,LM(CT",SOT-23-5,159.322836,-91.93364,180.0,bottom
U6,74LVC1T45,SOT-563,121.248,-45.748,180.0,bottom
