Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_SOD-123,26.098,-55.24,270.0,bottom
D2,1N4148,D_SOD-123,50.098,-50.19,270.0,bottom
D3,1N4148,D_SOD-123,74.398,-51.89,270.0,bottom
D4,1N4148,D_SOD-123,90.698,-62.89,270.0,bottom
D5,1N4148,D_SOD-123,196.748,-68.19,270.0,bottom
D6,1N4148,D_SOD-123,212.898,-57.14,270.0,bottom
D7,1N4148,D_SOD-123,235.648,-54.59,270.0,bottom
D8,1N4148,D_SOD-123,259.548,-57.79,270.0,bottom
D9,1N4148,D_SOD-123,22.798,-74.24,270.0,bottom
D10,1N4148,D_SOD-123,45.048,-67.74,270.0,bottom
D11,1N4148,D_SOD-123,66.848,-69.59,270.0,bottom
D12,1N4148,D_SOD-123,83.198,-80.64,270.0,bottom
D13,1N4148,D_SOD-123,204.148,-85.94,270.0,bottom
D14,1N4148,D_SOD-123,219.848,-74.94,270.0,bottom
D15,1N4148,D_SOD-123,241.348,-72.49,270.0,bottom
D16,1N4148,D_SOD-123,263.098,-76.69,270.0,bottom
D17,1N4148,D_SOD-123,39.448,-86.44,270.0,bottom
D18,1N4148,D_SOD-123,59.948,-86.39,270.0,bottom
D19,1N4148,D_SOD-123,76.398,-98.39,270.0,bottom
D20,1N4148,D_SOD-123,73.048,-117.84,270.0,bottom
D21,1N4148,D_SOD-123,212.998,-123.74,270.0,bottom
D22,1N4148,D_SOD-123,210.148,-103.69,270.0,bottom
D23,1N4148,D_SOD-123,226.648,-92.19,270.0,bottom
D24,1N4148,D_SOD-123,246.998,-90.84,270.0,bottom
D25,1N4148,D_SOD-123,105.748,-78.59,270.0,bottom
D26,1N4148,D_SOD-123,98.648,-95.54,270.0,bottom
D27,1N4148,D_SOD-123,89.948,-129.59,270.0,bottom
D28,1N4148,D_SOD-123,128.548,-131.04,90.0,bottom
D29,1N4148,D_SOD-123,166.998,-130.64,90.0,bottom
D30,1N4148,D_SOD-123,196.248,-134.84,270.0,bottom
D31,1N4148,D_SOD-123,188.348,-101.04,270.0,bottom
D32,1N4148,D_SOD-123,181.148,-83.34,270.0,bottom
D33,1N4148,D_SOD-123,149.448,-115.64,180.0,bottom
D35,1N4148,D_SOD-123,147.748,-133.74,90.0,bottom
D36,1N4148,D_SOD-123,54.248,-103.29,180.0,bottom
D37,1N4148,D_SOD-123,54.948,-110.49,180.0,bottom
D38,1N4148,D_SOD-123,52.248,-115.34,180.0,bottom
D39,1N4148,D_SOD-123,65.648,-114.39,180.0,bottom
D40,1N4148,D_SOD-123,66.098,-110.34,180.0,bottom
D41,1N4148,D_SOD-123,234.798,-110.84,0.0,bottom
D42,1N4148,D_SOD-123,236.448,-115.09,0.0,bottom
D43,1N4148,D_SOD-123,237.998,-119.04,0.0,bottom
D44,1N4148,D_SOD-123,246.148,-109.69,0.0,bottom
D45,1N4148,D_SOD-123,244.848,-103.39,0.0,bottom
J1,~,vik-keyboard-connector-horizontal,130.198,-92.54,270.0,bottom
