Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,PRTR5V0U2X,SOT-143,156.1744,-40.4622,90.0,bottom
D2,PRTR5V0U2X,SOT-143,121.8438,-40.8686,270.0,bottom
D3,1N4148,D_SOD-123,133.0198,-54.2808,90.0,bottom
D4,1N4148,D_SOD-123,133.5532,-70.4606,90.0,bottom
D5,1N4148,D_SOD-123,136.0932,-95.2764,90.0,bottom
D6,1N4148,D_SOD-123,218.186,-71.4756,270.0,bottom
D7,1N4148,D_SOD-123,215.2142,-49.9618,90.0,bottom
D8,1N4148,D_SOD-123,61.3664,-63.8038,90.0,bottom
D9,1N4148,D_SOD-123,78.3082,-45.6184,90.0,bottom
D10,1N4148,D_SOD-123,97.3328,-43.6118,90.0,bottom
D11,1N4148,D_SOD-123,116.4844,-45.8724,90.0,bottom
D12,1N4148,D_SOD-123,199.009,-44.6024,90.0,bottom
D13,1N4148,D_SOD-123,178.1048,-45.212,90.0,bottom
D14,1N4148,D_SOD-123,158.9278,-52.8828,90.0,bottom
D15,1N4148,D_SOD-123,214.2236,-86.4362,270.0,bottom
D16,1N4148,D_SOD-123,198.4502,-71.3232,270.0,bottom
D17,1N4148,D_SOD-123,181.4322,-65.8378,270.0,bottom
D18,1N4148,D_SOD-123,48.9712,-89.5858,270.0,bottom
D19,1N4148,D_SOD-123,64.77,-72.6684,270.0,bottom
D20,1N4148,D_SOD-123,97.8408,-59.3344,90.0,bottom
D21,1N4148,D_SOD-123,113.5634,-61.4934,90.0,bottom
D22,1N4148,D_SOD-123,178.1556,-61.85,90.0,bottom
D23,1N4148,D_SOD-123,159.0802,-69.6478,90.0,bottom
D24,1N4148,D_SOD-123,210.693,-82.676,90.0,bottom
D25,1N4148,D_SOD-123,181.3814,-83.693,270.0,bottom
D26,1N4148,D_SOD-123,176.6062,-77.6976,90.0,bottom
D27,1N4148,D_SOD-123,174.7012,-98.807,90.0,bottom
D28,1N4148,D_SOD-123,148.5646,-89.0778,90.0,bottom
D38,1N4148,D_SOD-123,67.0814,-90.2208,270.0,bottom
D39,1N4148,D_SOD-123,99.1616,-75.7428,90.0,bottom
D40,1N4148,D_SOD-123,114.0714,-78.0542,90.0,bottom
D41,1N4148,D_SOD-123,101.6,-95.9866,90.0,bottom
J1,AudioJack4dpb,TRRS-PJ-320A,146.7684,-40.64,90.0,top
J2,AudioJack4dpb,TRRS-PJ-320A,131.9283,-40.64,-90.0,top
SW1,SW_Push,gateron-ks27-choc-v1-mx-hotswap,125.115482,-57.215202,0.0,top
SW2,SW_Push,gateron-ks27-choc-v1-mx-hotswap,125.427982,-73.715202,0.0,top
SW3,SW_Push,gateron-ks27-choc-v1-mx-hotswap,128.740482,-99.840202,0.0,top
SW4,SW_Push,gateron-ks27-choc-v1-mx-hotswap,226.363651,-68.47052,166.0,top
SW5,SW_Push,ResetSW,209.1858,-39.434,180.0,bottom
SW6,SW_Push,gateron-ks27-choc-v1-mx-hotswap,53.416698,-68.47052,14.0,top
SW7,SW_Push,gateron-ks27-choc-v1-mx-hotswap,70.464057,-53.066579,8.0,top
SW8,SW_Push,gateron-ks27-choc-v1-mx-hotswap,88.695957,-46.442375,5.0,top
SW9,SW_Push,gateron-ks27-choc-v1-mx-hotswap,108.615482,-48.965202,0.0,top
SW10,SW_Push,gateron-ks27-choc-v1-mx-hotswap,207.769398,-53.066579,-8.0,top
SW11,SW_Push,gateron-ks27-choc-v1-mx-hotswap,189.534998,-46.442375,-5.0,top
SW12,SW_Push,gateron-ks27-choc-v1-mx-hotswap,169.615482,-48.965202,0.0,top
