Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,205.060505,-100.931287,90.0,bottom
C2,1uF,C_0805_2012Metric,203.060505,-100.931287,90.0,bottom
C3,4.7uF,C_0805_2012Metric,201.060505,-100.931287,90.0,bottom
C4,0.1uF,C_0805_2012Metric,199.060505,-100.931287,270.0,bottom
C5,0.1uF,C_0805_2012Metric,228.159464,-100.744939,90.0,bottom
C6,1uF,C_0805_2012Metric,226.06,-100.743,90.0,bottom
C7,4.7uF,C_0805_2012Metric,222.028,-100.743,90.0,bottom
C8,0.1uF,C_0805_2012Metric,224.028,-100.743,270.0,bottom
D1,1N4148,D_SOD-123,96.060505,-117.931287,270.0,bottom
D2,1N4148,D_SOD-123,99.560505,-136.431287,270.0,bottom
D3,1N4148,D_SOD-123,161.060505,-163.431287,270.0,bottom
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,198.060505,-87.431287,180.0,bottom
D5,1N4148,D_SOD-123,116.060505,-101.931287,270.0,bottom
D6,1N4148,D_SOD-123,118.060505,-120.431287,270.0,bottom
D7,1N4148,D_SOD-123,119.560505,-139.581287,270.0,bottom
D8,1N4148,D_SOD-123,211.077902,-162.081287,0.0,bottom
D9,1N4148,D_SOD-123,136.560505,-96.081287,270.0,bottom
D10,1N4148,D_SOD-123,137.060505,-115.581287,270.0,bottom
D11,1N4148,D_SOD-123,138.060505,-134.431287,270.0,bottom
D12,1N4148,D_SOD-123,202.242505,-162.081287,0.0,bottom
D13,1N4148,D_SOD-123,157.060505,-104.581287,270.0,bottom
D14,1N4148,D_SOD-123,155.956,-123.064,270.0,bottom
D15,1N4148,D_SOD-123,157.060505,-142.581287,270.0,bottom
D16,1N4148,D_SOD-123,193.242505,-162.081287,0.0,bottom
D17,1N4148,D_SOD-123,175.242505,-114.081287,270.0,bottom
D18,1N4148,D_SOD-123,176.060505,-133.431287,270.0,bottom
D19,1N4148,D_SOD-123,180.060505,-165.931287,270.0,bottom
D20,1N4148,D_SOD-123,135.710505,-155.431287,180.0,bottom
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,165.1,-83.058,0.0,bottom
D22,SK6812MINI-E,MX_SK6812MINI-E_REV,168.966505,-106.745287,180.0,top
D23,SK6812MINI-E,MX_SK6812MINI-E_REV,109.792901,-114.13634,-175.0,top
D24,SK6812MINI-E,MX_SK6812MINI-E_REV,111.438663,-133.156573,-175.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,105.560505,-81.931287,0.0,bottom
D26,SK6812MINI-E,MX_SK6812MINI-E_REV,149.916505,-97.109287,180.0,top
D27,SK6812MINI-E,MX_SK6812MINI-E_REV,129.353645,-108.063086,-177.0,top
D28,SK6812MINI-E,MX_SK6812MINI-E_REV,153.734505,-156.307287,180.0,top
D29,SK6812MINI-E,MX_SK6812MINI-E_REV,128.334505,-89.013287,-177.0,top
D30,SK6812MINI-E,MX_SK6812MINI-E_REV,149.916505,-116.159287,180.0,top
D31,SK6812MINI-E,MX_SK6812MINI-E_REV,172.784505,-158.339287,180.0,top
D32,SK6812MINI-E,MX_SK6812MINI-E_REV,108.122505,-95.109287,-175.0,top
