Comment,Designator,Footprint,LCSC
,S7,MX-hotswap-reversible,
,S8,MX-hotswap-reversible,
,S4,MX-hotswap-reversible,
,MCU1,ProMicro32keys,
,S1,MX-hotswap-reversible,
,S9,MX-hotswap-reversible,
,S12,MX-hotswap-reversible,
,S14,MX-hotswap-reversible,
,S3,MX-hotswap-reversible,
,T2,SPDT_C128955,
,S6,MX-hotswap-reversible,
,S15,MX-hotswap-reversible,
,PAD1,bat,
,B1,ResetSW,
,S11,MX-hotswap-reversible,
,S2,MX-hotswap-reversible,
,S13,MX-hotswap-reversible,
,S5,MX-hotswap-reversible,
,S10,MX-hotswap-reversible,
,T1,SPDT_C128955,
