Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
B1,,ResetSW,233.172,-134.704,-90.0,top
MCU1,,ProMicro32keys,210.82,-137.954,0.0,top
PAD1,,bat,202.47,-71.374,0.0,top
S1,,MX-hotswap-reversible,211.766186,-116.988841,-163.0,top
S2,,MX-hotswap-reversible,206.211123,-98.81905,-163.0,top
S3,,MX-hotswap-reversible,232.125737,-113.399844,-170.0,top
S4,,MX-hotswap-reversible,228.826421,-94.688497,-170.0,top
S5,,MX-hotswap-reversible,225.527106,-75.97715,-170.0,top
S6,,MX-hotswap-reversible,250.746784,-103.433416,-175.0,top
S7,,MX-hotswap-reversible,249.090824,-84.505717,-175.0,top
S8,,MX-hotswap-reversible,247.434865,-65.578018,-175.0,top
S9,,MX-hotswap-reversible,271.115601,-115.986367,180.0,top
S10,,MX-hotswap-reversible,271.115601,-96.986367,180.0,top
S11,,MX-hotswap-reversible,271.115601,-77.986367,180.0,top
S12,,MX-hotswap-reversible,290.515601,-108.386367,180.0,top
S13,,MX-hotswap-reversible,290.515601,-89.386367,180.0,top
S14,,MX-hotswap-reversible,275.740601,-136.986367,180.0,top
S15,,MX-hotswap-reversible,295.140601,-138.696367,180.0,top
T1,,SPDT_C128955,204.950615,-58.493916,0.0,top
T2,,SPDT_C128955,204.950615,-58.493916,0.0,top
