Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_SOD-123,84.744516,-45.897941,113.0,bottom
D2,1N4148,D_SOD-123,77.251516,-62.40794,113.0,bottom
D3,1N4148,D_SOD-123,70.723717,-78.003543,113.0,bottom
D4,1N4148,D_SOD-123,59.928717,-50.241342,107.0,bottom
D5,1N4148,D_SOD-123,104.759715,-51.866941,117.0,bottom
D6,1N4148,D_SOD-123,97.393715,-66.573541,117.0,bottom
D7,1N4148,D_SOD-123,89.659632,-81.962903,117.0,bottom
D8,1N4148,D_SOD-123,54.899513,-66.014741,107.0,bottom
D9,1N4148,D_SOD-123,119.237717,-64.236742,117.0,bottom
D10,1N4148,D_SOD-123,110.957316,-80.213342,117.0,bottom
D11,1N4148,D_SOD-123,103.299,-95.227781,117.0,bottom
D12,1N4148,D_SOD-123,105.724915,-121.895742,117.0,bottom
D13,1N4148,D_SOD-123,132.902916,-78.536943,117.0,bottom
D14,1N4148,D_SOD-123,125.409917,-93.421341,117.0,bottom
D15,1N4148,D_SOD-123,117.789916,-108.05174,117.0,bottom
D16,1N4148,D_SOD-123,120.292651,-134.220731,132.0,bottom
D17,1N4148,D_SOD-123,184.668117,-69.08814,63.0,bottom
D18,1N4148,D_SOD-123,192.719918,-84.83614,63.0,bottom
D19,1N4148,D_SOD-123,200.060516,-98.98394,63.0,bottom
D20,1N4148,D_SOD-123,194.523317,-122.19954,48.0,bottom
D21,1N4148,D_SOD-123,199.1332,-57.197903,63.0,bottom
D22,1N4148,D_SOD-123,206.816916,-72.567941,63.0,bottom
D23,1N4148,D_SOD-123,215.402116,-89.15414,63.0,bottom
D24,1N4148,D_SOD-123,212.188799,-114.093902,63.0,bottom
D25,1N4148,D_SOD-123,213.751117,-43.916743,63.0,bottom
D26,1N4148,D_SOD-123,221.218716,-60.426741,63.0,bottom
D27,1N4148,D_SOD-123,229.930916,-76.200141,63.0,bottom
D28,1N4148,D_SOD-123,264.119316,-63.982742,73.0,bottom
D29,1N4148,D_SOD-123,233.893316,-41.173542,67.0,bottom
D30,1N4148,D_SOD-123,241.030717,-57.15014,67.0,bottom
D31,1N4148,D_SOD-123,246.622846,-76.172462,67.0,bottom
D32,1N4148,D_SOD-123,258.683716,-46.380541,73.0,bottom
PAD1,,bat,172.46187,-110.82248,90.0,top
SW2,SW_Push,choc_hotswap,77.525202,-39.446009,-23.0,top
SW3,SW_Push,choc_hotswap,70.687408,-55.554843,-23.0,top
SW4,SW_Push,choc_hotswap,63.849615,-71.663679,-23.0,top
SW5,SW_Push,choc_hotswap,98.984143,-43.915753,-27.0,top
SW6,SW_Push,choc_hotswap,91.039312,-59.508367,-27.0,top
SW7,SW_Push,choc_hotswap,83.094476,-75.100982,-27.0,top
SW8,SW_Push,choc_hotswap,113.084315,-56.992363,-27.0,top
SW9,SW_Push,choc_hotswap,105.139482,-72.584976,-27.0,top
SW10,SW_Push,choc_hotswap,97.194648,-88.177591,-27.0,top
SW11,SW_Push,choc_hotswap,52.684902,-43.833625,-17.0,top
SW12,SW_Push,choc_hotswap,127.97897,-68.509709,-27.0,top
SW13,SW_Push,choc_hotswap,120.034137,-84.102325,-27.0,top
SW14,SW_Push,choc_hotswap,47.568399,-60.568959,-17.0,top
SW15,SW_Push,choc_hotswap,99.569572,-114.078851,-27.0,top
SW17,SW_Push,choc_hotswap,174.49892,-68.509709,27.0,top
SW18,SW_Push,choc_hotswap,182.443755,-84.102322,27.0,top
SW19,SW_Push,choc_hotswap,116.509828,-125.656451,-42.0,top
SW20,SW_Push,choc_hotswap,185.968063,-125.65645,42.0,top
SW21,SW_Push,choc_hotswap,189.393575,-56.99236,27.0,top
SW22,SW_Push,choc_hotswap,197.33841,-72.584977,27.0,top
SW23,SW_Push,choc_hotswap,205.283244,-88.177592,27.0,top
SW24,SW_Push,choc_hotswap,202.908318,-114.078854,27.0,top
SW25,SW_Push,choc_hotswap,203.493747,-43.915754,27.0,top
SW26,SW_Push,choc_hotswap,211.438578,-59.508367,27.0,top
SW27,SW_Push,choc_hotswap,219.383413,-75.100983,27.0,top
SW28,SW_Push,choc_hotswap,254.909493,-60.56896,17.0,top
SW29,SW_Push,choc_hotswap,224.952689,-39.446007,23.0,top
SW30,SW_Push,choc_hotswap,231.790482,-55.554844,23.0,top
SW31,SW_Push,choc_hotswap,238.628277,-71.663679,23.0,top
SW32,SW_Push,choc_hotswap,249.792987,-43.833624,17.0,top
SW33,SW_Push,ResetSW,164.079868,-120.47448,180.0,top
SW34,SW_SPDT,SW_SPDT_PCM12,151.195046,-120.401462,0.0,top
SW35,SW_Push,choc_hotswap,112.089302,-99.694939,-27.0,top
SW36,SW_Push,choc_hotswap,190.388589,-99.694939,27.0,top
U1,ProMicro_r,ProMicro_v3.5,151.633869,-83.721479,0.0,top
