Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_SOD-123,61.38,-50.8,90.0,bottom
D2,1N4148,D_SOD-123,82.97,-46.99,90.0,bottom
D3,1N4148,D_SOD-123,104.56,-48.26,90.0,bottom
D4,1N4148,D_SOD-123,121.07,-57.53,90.0,bottom
D5,1N4148,D_SOD-123,202.35,-52.45,90.0,bottom
D6,1N4148,D_SOD-123,218.86,-43.18,90.0,bottom
D7,1N4148,D_SOD-123,240.45,-43.56,90.0,bottom
D8,1N4148,D_SOD-123,263.31,-54.61,90.0,bottom
D9,1N4148,D_SOD-123,57.15,-70.866,90.0,bottom
D10,1N4148,D_SOD-123,79.16,-63.5,90.0,bottom
D11,1N4148,D_SOD-123,99.48,-64.77,90.0,bottom
D12,1N4148,D_SOD-123,115.99,-73.66,90.0,bottom
D13,1N4148,D_SOD-123,206.16,-69.85,90.0,bottom
D14,1N4148,D_SOD-123,222.67,-59.31,90.0,bottom
D15,1N4148,D_SOD-123,242.99,-59.69,90.0,bottom
D16,1N4148,D_SOD-123,264.58,-71.12,90.0,bottom
D17,1N4148,D_SOD-123,56.3,-89.79,90.0,bottom
D18,1N4148,D_SOD-123,75.35,-80.9,90.0,bottom
D19,1N4148,D_SOD-123,95.67,-80.01,90.0,bottom
D20,1N4148,D_SOD-123,112.18,-90.17,90.0,bottom
D21,1N4148,D_SOD-123,211.24,-85.09,90.0,bottom
D22,1N4148,D_SOD-123,226.48,-77.47,90.0,bottom
D23,1N4148,D_SOD-123,244.094,-76.454,90.0,bottom
D24,1N4148,D_SOD-123,265.85,-88.9,90.0,bottom
D25,1N4148,D_SOD-123,165.52,-101.68,0.0,bottom
D26,1N4148,D_SOD-123,137.58,-65.66,90.0,bottom
D27,1N4148,D_SOD-123,132.588,-80.264,90.0,bottom
D28,1N4148,D_SOD-123,129.96,-98.68,90.0,bottom
D29,1N4148,D_SOD-123,194.73,-92.71,90.0,bottom
D30,1N4148,D_SOD-123,189.65,-76.2,90.0,bottom
D31,1N4148,D_SOD-123,185.84,-60.96,90.0,bottom
D35,1N4148,D_SOD-123,119.8,-115.19,90.0,bottom
D36,1N4148,D_SOD-123,135.04,-125.35,90.0,bottom
D37,1N4148,D_SOD-123,184.57,-116.84,90.0,bottom
D38,1N4148,D_SOD-123,202.35,-111.38,90.0,bottom
Display1,nice!view,nice_view,153.91,-67.28,0.0,top
SW1,SW_Push,choc_hotswap,52.147899,-49.042558,-5.0,top
SW2,SW_Push,choc_hotswap,75.83458,-39.586233,-11.0,top
SW3,SW_Push,choc_hotswap,97.753904,-39.496739,-15.0,top
SW4,SW_Push,choc_hotswap,114.264732,-49.356002,-15.0,top
SW5,SW_Push,choc_hotswap,192.788172,-49.356002,15.0,top
SW6,SW_Push,choc_hotswap,209.299,-39.496739,15.0,top
SW7,SW_Push,choc_hotswap,231.218324,-39.586233,11.0,top
SW8,SW_Push,choc_hotswap,255.003567,-49.042558,5.0,top
SW9,SW_Push,choc_hotswap,50.622674,-66.475965,-5.0,top
SW10,SW_Push,choc_hotswap,72.495422,-56.764708,-11.0,top
SW11,SW_Push,choc_hotswap,93.224571,-56.400441,-15.0,top
SW12,SW_Push,choc_hotswap,109.735398,-66.259703,-15.0,top
SW13,SW_Push,choc_hotswap,197.317505,-66.259703,15.0,top
SW14,SW_Push,choc_hotswap,213.828333,-56.400441,15.0,top
SW15,SW_Push,choc_hotswap,234.557482,-56.764708,11.0,top
SW16,SW_Push,choc_hotswap,256.528792,-66.475965,5.0,top
SW17,SW_Push,choc_hotswap,49.097448,-83.909372,-5.0,top
SW18,SW_Push,choc_hotswap,69.156265,-73.943184,-11.0,top
SW19,SW_Push,choc_hotswap,88.695237,-73.304143,-15.0,top
SW20,SW_Push,choc_hotswap,105.206065,-83.163405,-15.0,top
SW21,SW_Push,choc_hotswap,201.846839,-83.163405,15.0,top
SW22,SW_Push,choc_hotswap,218.357667,-73.304143,15.0,top
SW23,SW_Push,choc_hotswap,237.896639,-73.943184,11.0,top
SW24,SW_Push,choc_hotswap,258.054018,-83.909372,5.0,top
SW25,SW_SPDT,SW_SPDT_PCM12,153.75,-117.025,0.0,top
SW26,Rotary_Encoder_Switch,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm-keebio_modified,153.75,-99.25,0.0,top
SW27,SW_Push,choc_hotswap,131.228493,-57.524894,-15.0,top
SW28,SW_Push,choc_hotswap,126.69916,-74.428596,-15.0,top
SW29,SW_Push,choc_hotswap,122.169826,-91.332298,-15.0,top
SW30,SW_Push,choc_hotswap,184.883078,-91.332298,15.0,top
SW31,SW_Push,choc_hotswap,180.353744,-74.428596,15.0,top
SW32,SW_Push,choc_hotswap,175.824411,-57.524894,15.0,top
SW33,SW_SPDT,SW_SPDT_PCM12,153.754418,-117.027091,0.0,bottom
SW34,SW_Push,ResetSW,169.076,-90.043,90.0,top
SW37,SW_Push,choc_hotswap,112.914267,-108.004888,-15.0,top
SW38,SW_Push,choc_hotswap,131.891458,-115.807411,-29.0,top
SW39,SW_Push,choc_hotswap,175.161446,-115.807411,29.0,top
SW40,SW_Push,choc_hotswap,194.138637,-108.004888,15.0,top
U1,nice_nano,nice_nano,153.924,-61.64,270.0,bottom
