Comment,Designator,Footprint,LCSC
74HC595,U2,SOIC-16_3.9x9.9mm_P1.27mm,C10092
B5817WS,D40,D_SOD-323,C122854
74LVC1T45,U6,SOT-363_SC-70-6,C139353
"TCR2EF19,LM(CT",U3,SOT-23-5,C146366
500mA,F1,Fuse_0603_1608Metric,C210357
SW_Push,SW35,SKQG-1155865,C221856
SW_SPDT,SW37,SW_CuK_OS102011MA1QN1_SPDT_Angled,C226259
4u7,C6,C_0402_1005Metric,C23733
4.7uF,C3,C_0805_2012Metric,C303940
1uF,C2,C_0805_2012Metric,C366879
10K,"R2,R3",R_0805_2012Metric,C406725
Conn_01x12_Female,"J1,J2",FPC-SMD_FPC05012-09200-.5mm-rev,C479750
39,R1,R_0805_2012Metric,C514993
0.1uF,"C1,C4,C5",C_0805_2012Metric,C77456
1N4148,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D43,D5,D6,D7,D75,D76,D77,D78,D79,D8,D80,D81,D82,D9",D_SOD-123,C8598
SK6812MINI-E,D73,MX_SK6812MINI-E_REV,
SW_Push,SW7,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW26,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D42,MX_SK6812MINI-E_REV,
SW_Push,SW40,Kailh_hotswap_only_MX-CHOC,
MountingHole_Pad,H10,MountingHole_M3,
SW_Push,SW44,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW34,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D85,MX_SK6812MINI-E_REV,
SW_Push,SW39,Kailh_hotswap_only_MX-CHOC,
MountingHole_Pad,H8,MountingHole_M3,
SK6812MINI-E,D56,MX_SK6812MINI-E_REV,
SK6812MINI-E,D50,MX_SK6812MINI-E_REV,
SW_Push,SW20,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D57,MX_SK6812MINI-E_REV,
