Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,231.723274,-127.994079,0.0,bottom
C2,1uF,C_0805_2012Metric,231.723273,-125.627258,0.0,bottom
C3,4.7uF,C_0805_2012Metric,231.723275,-123.422082,0.0,bottom
C4,0.1uF,C_0805_2012Metric,231.723275,-121.136078,180.0,bottom
C5,0.1uF,C_0805_2012Metric,220.351998,-84.382002,90.0,bottom
C6,4u7,C_0402_1005Metric,193.267436,-68.854438,-122.0,bottom
D1,1N4148,D_SOD-123,140.562436,-81.300438,0.0,bottom
D2,1N4148,D_SOD-123,134.402436,-98.264438,2.0,bottom
D3,1N4148,D_SOD-123,114.621344,-82.316438,2.0,bottom
D4,1N4148,D_SOD-123,160.882436,-86.634438,2.0,bottom
D5,1N4148,D_SOD-123,152.500436,-103.144438,0.0,bottom
D6,1N4148,D_SOD-123,125.068436,-116.860438,2.0,bottom
D7,1N4148,D_SOD-123,110.336436,-100.858438,2.0,bottom
D8,1N4148,D_SOD-123,175.868435,-100.350438,2.0,bottom
D9,1N4148,D_SOD-123,167.232436,-117.876438,2.0,bottom
D10,1N4148,D_SOD-123,143.356436,-120.670438,0.0,bottom
D11,1N4148,D_SOD-123,149.452436,-151.658438,2.0,bottom
D12,1N4148,D_SOD-123,211.174436,-187.980438,2.0,bottom
D13,1N4148,D_SOD-123,191.870436,-110.510438,2.0,bottom
D14,1N4148,D_SOD-123,184.504436,-127.782438,2.0,bottom
D15,1N4148,D_SOD-123,158.596436,-134.132438,0.0,bottom
D16,1N4148,D_SOD-123,165.962436,-161.818438,2.0,bottom
D17,1N4148,D_SOD-123,230.732436,-187.726438,2.0,bottom
D18,1N4148,D_SOD-123,267.562436,-105.684438,-2.0,bottom
D19,1N4148,D_SOD-123,276.452436,-122.448438,1.0,bottom
D20,1N4148,D_SOD-123,174.852436,-144.292438,0.0,bottom
D21,1N4148,D_SOD-123,296.264436,-154.452438,-2.0,bottom
D22,1N4148,D_SOD-123,249.528436,-187.980438,-2.0,bottom
D23,1N4148,D_SOD-123,285.332436,-138.054438,-2.0,bottom
D24,1N4148,D_SOD-123,284.072436,-95.016438,-2.0,bottom
D25,1N4148,D_SOD-123,292.708436,-112.034438,-1.0,bottom
D26,1N4148,D_SOD-123,310.234436,-146.578438,-2.0,bottom
D27,1N4148,D_SOD-123,301.344436,-128.544438,0.0,bottom
D28,1N4148,D_SOD-123,297.026436,-80.538438,-2.0,bottom
D29,1N4148,D_SOD-123,305.154436,-98.318438,-2.0,bottom
D30,1N4148,D_SOD-123,314.044436,-115.844438,-2.0,bottom
D31,1N4148,D_SOD-123,349.858436,-98.826438,-2.0,bottom
D32,1N4148,D_SOD-123,320.648436,-77.998438,-2.0,bottom
D33,1N4148,D_SOD-123,326.236436,-95.524438,-2.0,bottom
D34,1N4148,D_SOD-123,344.778436,-80.030438,-2.0,bottom
D35,1N4148,D_SOD-123,214.857436,-163.884004,-90.0,bottom
D36,1N4148,D_SOD-123,210.699999,-163.884001,180.0,bottom
D37,1N4148,D_SOD-123,215.272,-168.964003,0.0,bottom
D38,1N4148,D_SOD-123,232.510436,-163.850438,0.0,bottom
D39,1N4148,D_SOD-123,232.510436,-160.040438,0.0,bottom
D40,B5817WS,D_SOD-323,190.727436,-70.124438,58.0,bottom
D43,1N4148,D_SOD-123,334.618436,-111.780438,0.0,bottom
D52,SK6812MINI-E,MX_SK6812MINI-E_REV,179.952614,-161.380126,153.0,top
D58,SK6812MINI-E,MX_SK6812MINI-E_REV,273.436962,-134.077614,-153.0,top
D75,1N4148,D_SOD-123,93.826436,-87.142438,0.0,bottom
D76,1N4148,D_SOD-123,91.286436,-104.922438,0.0,bottom
D77,1N4148,D_SOD-123,105.002436,-119.146438,0.0,bottom
D78,1N4148,D_SOD-123,183.996436,-172.994438,0.0,bottom
D79,1N4148,D_SOD-123,278.992436,-164.358438,0.0,bottom
D80,1N4148,D_SOD-123,355.700436,-115.590438,0.0,bottom
D81,1N4148,D_SOD-123,371.956436,-101.620438,0.0,bottom
D82,1N4148,D_SOD-123,366.876436,-83.840438,0.0,bottom
D84,SK6812MINI-E,MX_SK6812MINI-E_REV,172.816785,-133.37229,153.0,top
F1,500mA,Fuse_0603_1608Metric,191.362436,-67.584438,-32.0,bottom
J1,Conn_01x12_Female,FPC-SMD_FPC05012-09200-.5mm-rev,241.880995,-156.118247,35.0,bottom
J2,Conn_01x12_Female,FPC-SMD_FPC05012-09200-.5mm-rev,222.892,-151.066,0.0,bottom
J5,Conn_01x03_Female,PinHeader_1x03_P2.54mm_Vertical,198.220436,-150.134438,0.0,top
R1,39,R_0805_2012Metric,231.723273,-132.566079,180.0,bottom
R2,10K,R_0805_2012Metric,231.723275,-130.28008,0.0,bottom
R3,10K,R_0805_2012Metric,215.272001,-126.800003,90.0,bottom
SW20,SW_Push,Kailh_hotswap_only_MX-CHOC,172.816785,-133.37229,153.0,top
SW23,SW_Push,Kailh_hotswap_only_MX-CHOC,273.436962,-134.077614,-153.0,top
SW35,SW_Push,SKQG-1155865,199.226,-77.490438,-35.0,bottom
U2,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,223.841347,-90.082081,90.0,bottom
U3,"TCR2EF19,LM(CT",SOT-23-5,231.977272,-118.088078,0.0,bottom
U6,74LVC1T45,SOT-363_SC-70-6,193.152436,-72.664438,148.0,bottom
