Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,231.625218,-114.259583,180.0,bottom
C2,1uF,C_0805_2012Metric,231.625217,-111.892762,180.0,bottom
C3,4.7uF,C_0805_2012Metric,231.625219,-109.687586,180.0,bottom
C4,0.1uF,C_0805_2012Metric,231.625219,-107.401582,0.0,bottom
C5,0.1uF,C_0805_2012Metric,220.628651,-83.735921,90.0,bottom
C6,4u7,C_0402_1005Metric,108.570746,-71.103467,180.0,bottom
C7,0.1uF,C_0805_2012Metric,246.371944,-93.481504,270.0,bottom
C8,0.1uF,C_0805_2012Metric,237.227944,-86.369504,270.0,bottom
D1,1N4148,D_SOD-123-rotated,117.036,-88.928,270.0,bottom
D2,1N4148,D_SOD-123-rotated,117.036,-108.232,270.0,bottom
D3,1N4148,D_SOD-123-rotated,117.036,-151.158,270.0,bottom
D4,1N4148,D_SOD-123-rotated,136.34,-89.436,270.0,bottom
D5,1N4148,D_SOD-123-rotated,136.34,-108.486,270.0,bottom
D6,1N4148,D_SOD-123-rotated,117.036,-127.282,270.0,bottom
D7,1N4148,D_SOD-123-rotated,136.34,-150.904,270.0,bottom
D8,1N4148,D_SOD-123-rotated,155.136,-89.182,270.0,bottom
D9,1N4148,D_SOD-123-rotated,155.136,-107.978,270.0,bottom
D10,1N4148,D_SOD-123-rotated,136.34,-127.282,270.0,bottom
D11,1N4148,D_SOD-123-rotated,155.136,-150.904,270.0,bottom
D12,1N4148,D_SOD-123-rotated,212.688,-157.762,270.0,bottom
D13,1N4148,D_SOD-123-rotated,174.44,-88.928,270.0,bottom
D14,1N4148,D_SOD-123-rotated,174.44,-107.978,270.0,bottom
D15,1N4148,D_SOD-123-rotated,155.136,-127.282,270.0,bottom
D16,1N4148,D_SOD-123-rotated,174.44,-150.904,270.0,bottom
D17,1N4148,D_SOD-123-rotated,231.738,-158.016,270.0,bottom
D18,1N4148,D_SOD-123-rotated,288.782,-89.182,270.0,bottom
D19,1N4148,D_SOD-123-rotated,288.782,-107.978,270.0,bottom
D20,1N4148,D_SOD-123-rotated,174.44,-127.028,270.0,bottom
D21,1N4148,D_SOD-123-rotated,288.782,-151.412,270.0,bottom
D22,1N4148,D_SOD-123-rotated,249.772,-158.27,270.0,bottom
D23,1N4148,D_SOD-123-rotated,288.782,-126.52,270.0,bottom
D24,1N4148,D_SOD-123-rotated,307.832,-88.928,270.0,bottom
D25,1N4148,D_SOD-123-rotated,307.832,-107.978,270.0,bottom
D26,1N4148,D_SOD-123-rotated,307.832,-151.158,270.0,bottom
D27,1N4148,D_SOD-123-rotated,307.832,-126.774,270.0,bottom
D28,1N4148,D_SOD-123-rotated,326.882,-89.436,270.0,bottom
D29,1N4148,D_SOD-123-rotated,326.882,-108.232,270.0,bottom
D30,1N4148,D_SOD-123-rotated,326.882,-126.52,270.0,bottom
D31,1N4148,D_SOD-123-rotated,326.882,-151.158,270.0,bottom
D32,1N4148,D_SOD-123-rotated,344.662,-87.912,270.0,bottom
D33,1N4148,D_SOD-123-rotated,344.916,-108.486,270.0,bottom
