Designator,Mid X,Mid Y,Rotation,Layer
C1,177.318,-101.85,90.0,bottom
C2,175.318,-101.85,90.0,bottom
C3,173.318,-101.85,90.0,bottom
C4,171.318,-101.85,270.0,bottom
D1,68.318,-118.85,270.0,bottom
D10,109.318,-116.5,270.0,bottom
D11,110.318,-135.35,270.0,bottom
D12,174.5,-163.0,180.0,bottom
D13,129.318,-105.5,270.0,bottom
D14,129.318,-124.35,270.0,bottom
D15,129.318,-143.5,270.0,bottom
D16,165.5,-163.0,180.0,bottom
D17,148.318,-115.0,270.0,bottom
D18,148.318,-134.35,270.0,bottom
D19,152.318,-166.85,270.0,bottom
D2,71.818,-137.35,270.0,bottom
D20,107.968,-156.35,0.0,bottom
D21,126.5,-85.0,180.0,bottom
D22,140.724,-107.664,180.0,top
D23,82.050396,-115.055053,185.0,top
D24,83.696158,-134.075286,185.0,top
D25,77.818,-82.85,180.0,bottom
D26,121.674,-98.028,180.0,top
D27,101.61114,-108.981799,183.0,top
D28,125.992,-157.226,180.0,top
D29,100.592,-89.932,183.0,top
D3,133.318,-164.35,270.0,bottom
D30,121.674,-117.078,180.0,top
D31,145.042,-159.258,180.0,top
D32,80.38,-96.028,185.0,top
D33,140.724,-126.714,180.0,top
D34,57.318,-98.35,180.0,bottom
D35,60.068,-112.538,190.0,top
D36,121.674,-136.128,180.0,top
D37,55.818,-144.35,180.0,bottom
D38,83.818,-162.35,270.0,bottom
D39,63.37,-131.334,190.0,top
D4,170.318,-88.35,0.0,bottom
D40,102.621764,-128.03543,183.0,top
D41,171.196,-136.5,270.0,bottom
D42,171.042548,-151.85,180.0,bottom
D43,171.042548,-148.35,180.0,bottom
D44,171.042548,-145.35,180.0,bottom
D45,181.5,-148.35,180.0,bottom
D46,181.0,-152.0,180.0,bottom
D49,182.5,-127.5,270.0,bottom
D5,88.318,-102.85,270.0,bottom
D50,180.5,-157.5,180.0,bottom
D51,159.168,-155.4,270.0,bottom
D52,112.318,-164.85,270.0,bottom
D6,90.318,-121.35,270.0,bottom
D7,91.818,-140.5,270.0,bottom
D8,183.335397,-163.0,180.0,bottom
D9,108.818,-97.0,270.0,bottom
J1,141.937119,-94.488,0.0,top
J2,185.242,-135.89,270.0,top
R1,181.318,-101.85,270.0,bottom
R2,179.318,-101.85,90.0,bottom
R3,177.2305,-118.364,180.0,bottom
SW12,173.594,-165.608,0.0,top
SW16,164.72,-165.608,0.0,top
SW20,59.384,-89.082,180.0,bottom
SW21,96.886,-159.004,0.0,top
SW8,182.468,-165.608,0.0,top
U2,178.818,-91.85,0.0,bottom
U3,168.610645,-101.533597,90.0,bottom
