"Reference","Value","Footprint","Datasheet","LCSC","MPN ","Manufacturer","Package","Qty"
"C1, C4, C5, C8","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","C77456","0805B104K101CT","","0805","4"
"C2, C6","1uF","Capacitor_SMD:C_0805_2012Metric","~","C366879","0805B105K100CT","","0805","2"
"C3, C7","4.7uF","Capacitor_SMD:C_0805_2012Metric","~","C303940","0805X475K250CT","","0805","2"
"D1-D3, D5-D20, D42-D48, D53, D57-D60, D64-D67, D71-D74, D77-D80, D85, D86, D89, D90, D93","1N4148","Diode_SMD:D_SOD-123","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","C8598","B5819W SL","","SOD-123","48"
"D4, D21, D25, D34, D37, D38, D49-D52, D87, D88, D91, D92, D94-D97, D99, D100","WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf","C2843785","XL-5050RGBC-WS2812B","","SMD5050","20"
"D22-D24, D26-D33, D35, D36, D39, D40, D54-D56, D61-D63, D68-D70, D75, D76, D81-D84","SK6812MINI-E","Alaa:MX_SK6812MINI-E_REV","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf","","DY-S352818/RGBC/6812-2T","","SMD3528","30"
"D41, D98","PRTR5V0U2X","Package_TO_SOT_SMD:SOT-143","https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf","C12333","PRTR5V0U2X,215","","SOT-143","2"
"HAT1, HAT2","5Way-Tactile_K1-1506DN-01","Alaa:5Way-non-reverse","~","","","","","2"
"J1, J7","Conn_01x08_Female","Alaa:Screen Dupont","~","","","","","2"
"J2, J5","AudioJack4dpb","Alaa:TRRS-PJ-320A","~","","","","","2"
"J3, J4, J6, J8","Conn_01x12_Female","Alaa:FPC-SMD_FPC05012-09200-.5mm-rev","~","C479750","FPC05012-09200","","SMD,P=0.5mm","4"
"J9, J10","Conn_01x08","Connector_PinSocket_2.00mm:PinSocket_1x08_P2.00mm_Vertical","~","","","","","2"
"R1, R4","39","Resistor_SMD:R_0805_2012Metric","~","C514993","SG73P2ATTD39R0F","","0805","2"
"R2, R3, R5, R6","10K","Resistor_SMD:R_0805_2012Metric","~","C406725","ARG05BTC1002","","0805","4"
"SW1-SW7, SW9-SW11, SW13-SW15, SW17-SW19, SW22-SW26, SW28-SW30, SW32-SW34, SW36-SW38","SW_Push","Alaa:Kailh_hotswap_only_MX-CHOC","~","","","","","30"
"SW8, SW12, SW16, SW27, SW31, SW35","SW_Push","Alaa:Silent Square Micro Switch","~","","","","","6"
"SW20, SW40","SW_Push","Alaa:SKQG-1155865","~","C221856","PTS525SM15SMTR2LFS","","SMD,5.2x5.2mm","2"
"SW21, SW39","Rotary_Encoder_Switch","Alaa:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm-keebio_modified","~","","","","","2"
"U1, U7","Helios","Alaa:Helios","","","","","","2"
"U2, U9","74LVC1T45","Package_TO_SOT_SMD:SOT-363_SC-70-6","","C139353","SN74LVC1T45QDCKRQ1","Texas Instruments","SC-70-6","2"
"U3, U8","TCR2EF19,LM(CT","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tlv700.pdf","C146366","TCR2EF19,LM(CT","","SOT-25","2"
"U4, U10","PMW3360DM-T2QU","Alaa:PMW3360DM-T2QU","https://www.pixart.com/_getfs.php?tb=product&id=10&fs=ck2_fs_en","","","","","2"
"U5, U6","DRV2605L","Alaa:Pimoroni Haptic Buzz DRV2605L Driver","","","","","","2"
