Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,147.686,-63.904,0.0,bottom
C2,1uF,C_0805_2012Metric,147.686,-68.476,0.0,bottom
C3,4.7uF,C_0805_2012Metric,147.686,-59.332,180.0,bottom
C4,0.1uF,C_0805_2012Metric,147.686,-61.618,0.0,bottom
D1,1N4148,D_SOD-123,201.168,-65.2272,90.0,bottom
D2,1N4148,D_SOD-123,201.2188,-84.4296,90.0,bottom
D4,1N4148,D_SOD-123,143.002,-101.1428,90.0,bottom
D5,1N4148,D_SOD-123,162.052,-101.3968,90.0,bottom
D7,1N4148,D_SOD-123,181.102,-101.4476,90.0,bottom
D8,1N4148,D_SOD-123,195.6,-108.45,0.0,bottom
J1,~,FPC-SMD_FPC05012-09200-.5mm-rev,185.762,-61.4,90.0,bottom
J2,~,FPC-SMD_FPC05012-09200-.5mm-rev,157.094,-59.85,270.0,bottom
R1,39,R_0805_2012Metric,131.684,-59.078,90.0,bottom
R2,10K,R_0805_2012Metric,147.686,-66.19,180.0,bottom
R3,10K,R_0805_2012Metric,131.684,-64.412,270.0,bottom
U1,"TCR2EF19,LM(CT",SOT-23-5,147.94,-52.728,180.0,bottom
